"","nutrient_type","variable","value"
"499","Lake TN","ag",-43.097144918732
"500","Lake TN","ag",23.8856118457419
"501","Lake TN","ag",-27.2383060110926
"502","Lake TN","ag",84.9270745138317
"503","Lake TN","ag",71.8796733975606
"504","Lake TN","ag",17.7016681727804
"505","Lake TN","ag",2.09998962455323
"506","Lake TN","ag",1.45040618879131
"507","Lake TN","ag",-17.0215032312621
"508","Lake TN","ag",17.1314985533871
"509","Lake TN","ag",44.8877989192843
"510","Lake TN","ag",50.4151432159586
"511","Lake TN","ag",-38.9355285419157
"512","Lake TN","ag",32.1680680385172
"513","Lake TN","ag",16.5880965502867
"514","Lake TN","ag",41.2514863374119
"515","Lake TN","ag",89.4773367373338
"516","Lake TN","ag",66.817977060521
"517","Lake TN","ag",13.0788067053708
"518","Lake TN","ag",16.9085772517904
"519","Lake TN","ag",112.178028313655
"520","Lake TN","ag",31.7701805099805
"521","Lake TN","ag",71.2162445344906
"522","Lake TN","ag",38.1087951529884
"523","Lake TN","ag",7.87816058828972
"524","Lake TN","ag",19.6481321377194
"525","Lake TN","ag",73.6746812721703
"526","Lake TN","ag",27.8183108359734
"527","Lake TN","ag",102.241283363288
"528","Lake TN","ag",163.145132193267
"529","Lake TN","ag",168.377218927604
"530","Lake TN","ag",135.966937748089
"531","Lake TN","ag",73.3116391386704
"532","Lake TN","ag",52.7823432816068
"533","Lake TN","ag",64.036060863206
"534","Lake TN","ag",10.4232914446005
"535","Lake TN","ag",4.71872020466328
"536","Lake TN","ag",43.9621870098959
"537","Lake TN","ag",23.0057849456685
"538","Lake TN","ag",58.2493061911578
"539","Lake TN","ag",12.9540470246813
"540","Lake TN","ag",55.6328143715077
"541","Lake TN","ag",38.9892543440253
"542","Lake TN","ag",128.014713347538
"543","Lake TN","ag",40.5652201557035
"544","Lake TN","ag",72.328718718689
"545","Lake TN","ag",13.3592778819593
"546","Lake TN","ag",116.48709486378
"547","Lake TN","ag",44.956537568196
"548","Lake TN","ag",38.9580237227903
"549","Lake TN","ag",74.5896524619436
"550","Lake TN","ag",-35.8422132851848
"551","Lake TN","ag",102.128468677491
"552","Lake TN","ag",-48.7403060286109
"553","Lake TN","ag",33.1660054975693
"554","Lake TN","ag",-5.96546405563316
"555","Lake TN","ag",52.3994710062127
"556","Lake TN","ag",-86.4485448101996
"557","Lake TN","ag",39.0593702962907
"558","Lake TN","ag",55.4201624807613
"559","Lake TN","ag",-6.34544679875375
"560","Lake TN","ag",-127.58948188802
