"","policy","nutreint_type","variable","value"
"324","criteria","Lake TN","new_value",5.47744000718605
"325","tmdl","Lake TN","new_value",113.273941329322
"326","319","Lake TN","new_value",0.00392645839132758
"327","criteria","Lake TN","new_value",9.83318776976241
"328","tmdl","Lake TN","new_value",2.09093598079676
"329","319","Lake TN","new_value",0.000661457967659803
"330","criteria","Lake TN","new_value",2.60118714804368
"331","tmdl","Lake TN","new_value",-11.0000642714625
"332","319","Lake TN","new_value",0.00805181813674542
"333","criteria","Lake TN","new_value",-2.15890996564946
"334","tmdl","Lake TN","new_value",26.7570147404262
"335","319","Lake TN","new_value",-0.00200659018161051
"336","criteria","Lake TN","new_value",-5.74686548816915
"337","tmdl","Lake TN","new_value",146.099592747653
"338","319","Lake TN","new_value",-0.0159375667053242
"339","criteria","Lake TN","new_value",14.0013943318022
"340","tmdl","Lake TN","new_value",12.2078246597276
"341","319","Lake TN","new_value",-0.00377733015114645
"342","criteria","Lake TN","new_value",-7.81004142480541
"343","tmdl","Lake TN","new_value",-72.7524361480231
"344","319","Lake TN","new_value",0.013227927292284
"345","criteria","Lake TN","new_value",-1.67733702595622
"346","tmdl","Lake TN","new_value",39.2743312061457
"347","319","Lake TN","new_value",-0.00917356679543015
"348","criteria","Lake TN","new_value",6.00412344823001
"349","tmdl","Lake TN","new_value",-79.5250199179629
"350","319","Lake TN","new_value",-0.00767965877433215
"351","criteria","Lake TN","new_value",12.5480362146614
"352","tmdl","Lake TN","new_value",0.606667799265708
"353","319","Lake TN","new_value",0.00343587293223166
"354","criteria","Lake TN","new_value",-8.34469729745351
"355","tmdl","Lake TN","new_value",14.9219966393248
"356","319","Lake TN","new_value",0.0013715907025567
"357","criteria","Lake TN","new_value",-3.45399587329626
"358","tmdl","Lake TN","new_value",6.93381919758582
"359","319","Lake TN","new_value",0.00659313348133096
"360","criteria","Lake TN","new_value",2.08853472608754
"361","tmdl","Lake TN","new_value",10.0470192110681
"362","319","Lake TN","new_value",-0.00339082870773136
"363","criteria","Lake TN","new_value",1.2038214627855
"364","tmdl","Lake TN","new_value",-26.7801336039036
"365","319","Lake TN","new_value",0.0015176089156658
"366","criteria","Lake TN","new_value",9.56120970642567
"367","tmdl","Lake TN","new_value",71.5097639177683
"368","319","Lake TN","new_value",0.00589991024615624
"369","criteria","Lake TN","new_value",-6.87297202510906
"370","tmdl","Lake TN","new_value",-19.6840736668735
"371","319","Lake TN","new_value",-0.00447294709230194
"372","criteria","Lake TN","new_value",7.66793551591554
"373","tmdl","Lake TN","new_value",9.02959459868744
"374","319","Lake TN","new_value",-0.0149593990066054
"375","criteria","Lake TN","new_value",-4.26435612165461
"376","tmdl","Lake TN","new_value",-0.0675226662230233
"377","319","Lake TN","new_value",0.0129995940008313
"378","criteria","Lake TN","new_value",11.3719490915005
"379","tmdl","Lake TN","new_value",-18.2019610467627
"380","319","Lake TN","new_value",-0.00305742072376574
"381","criteria","Lake TN","new_value",4.91851360311729
"382","tmdl","Lake TN","new_value",6.95897812927281
"383","319","Lake TN","new_value",0.000387026188078157
"384","criteria","Lake TN","new_value",0.447270907186351
"385","tmdl","Lake TN","new_value",-59.4088458533349
"386","319","Lake TN","new_value",0.0211391883721485
"387","criteria","Lake TN","new_value",0.811557829577591
"388","tmdl","Lake TN","new_value",-28.5736008462654
"389","319","Lake TN","new_value",0.00709258913409752
"390","criteria","Lake TN","new_value",6.80899649640653
"391","tmdl","Lake TN","new_value",-34.9018110503794
"392","319","Lake TN","new_value",-0.0013394587297679
"393","criteria","Lake TN","new_value",6.88373180231273
"394","tmdl","Lake TN","new_value",194.556318107608
"395","319","Lake TN","new_value",0.00900493970880219
"396","criteria","Lake TN","new_value",7.01967060320885
"397","tmdl","Lake TN","new_value",23.7610864651436
"398","319","Lake TN","new_value",0.00186175092826838
"399","criteria","Lake TN","new_value",-5.51539668193111
"400","tmdl","Lake TN","new_value",-16.1228433557051
"401","319","Lake TN","new_value",0.00591895666465058
"402","criteria","Lake TN","new_value",-11.014867225988
"403","tmdl","Lake TN","new_value",-0.716584965034068
"404","319","Lake TN","new_value",-0.00881453155007252
"405","criteria","Lake TN","new_value",5.09153415184341
"406","tmdl","Lake TN","new_value",98.9149962560803
"407","319","Lake TN","new_value",-0.000705244900776091
"408","criteria","Lake TN","new_value",1.31808083187889
"409","tmdl","Lake TN","new_value",16.7514482028515
"410","319","Lake TN","new_value",0.00260376512052913
"411","criteria","Lake TN","new_value",5.54109812270349
"412","tmdl","Lake TN","new_value",-39.6851319418365
"413","319","Lake TN","new_value",-0.00547614869760193
"414","criteria","Lake TN","new_value",5.87909995470407
"415","tmdl","Lake TN","new_value",120.695045074072
"416","319","Lake TN","new_value",0.0127647528953768
"417","criteria","Lake TN","new_value",-2.09527965719604
"418","tmdl","Lake TN","new_value",77.5993229328528
"419","319","Lake TN","new_value",0.00362296454934833
"420","criteria","Lake TN","new_value",-9.31735953552434
"421","tmdl","Lake TN","new_value",-6.22705642805812
"422","319","Lake TN","new_value",-0.0109089319095111
"423","criteria","Lake TN","new_value",5.41719510625525
"424","tmdl","Lake TN","new_value",-16.1161714971002
"425","319","Lake TN","new_value",0.00497361422456314
"426","criteria","Lake TN","new_value",6.35902423417435
"427","tmdl","Lake TN","new_value",-9.21762972195312
"428","319","Lake TN","new_value",-0.0086062620585252
"429","criteria","Lake TN","new_value",5.60961142330096
"430","tmdl","Lake TN","new_value",-12.8958943129714
"431","319","Lake TN","new_value",-0.00899354678611329
"432","criteria","Lake TN","new_value",1.05651205722168
"433","tmdl","Lake TN","new_value",-83.2591643684868
"434","319","Lake TN","new_value",0.00434947165622086
"435","criteria","Lake TN","new_value",-4.40433267243213
"436","tmdl","Lake TN","new_value",65.4313705351645
"437","319","Lake TN","new_value",0.00670364257396584
"438","criteria","Lake TN","new_value",0.528650122635491
"439","tmdl","Lake TN","new_value",37.2737828652841
"440","319","Lake TN","new_value",0.00949933720071045
"441","criteria","Lake TN","new_value",1.85466979846895
"442","tmdl","Lake TN","new_value",20.4569842174303
"443","319","Lake TN","new_value",-0.00544147949173896
"444","criteria","Lake TN","new_value",0.745176104761551
"445","tmdl","Lake TN","new_value",-0.561883867450382
"446","319","Lake TN","new_value",-0.0154591172093012
"447","criteria","Lake TN","new_value",12.7277024231047
"448","tmdl","Lake TN","new_value",-19.6554641490335
"449","319","Lake TN","new_value",0.00458525231706885
"450","criteria","Lake TN","new_value",4.49649277880114
"451","tmdl","Lake TN","new_value",-89.4529393399467
"452","319","Lake TN","new_value",-0.00762974972802897
"453","criteria","Lake TN","new_value",-20.2154240164892
"454","tmdl","Lake TN","new_value",-11.5854155544515
"455","319","Lake TN","new_value",-0.00166979512618267
"456","criteria","Lake TN","new_value",-0.436377974859079
"457","tmdl","Lake TN","new_value",-26.9059490426257
"458","319","Lake TN","new_value",0.00200797589768191
"459","criteria","Lake TN","new_value",1.30906718632162
"460","tmdl","Lake TN","new_value",77.0150372309148
"461","319","Lake TN","new_value",-0.0058592119087475
"462","criteria","Lake TN","new_value",-5.08579543418388
"463","tmdl","Lake TN","new_value",118.066905702716
"464","319","Lake TN","new_value",-0.0213397153029677
"465","criteria","Lake TN","new_value",5.58486830894569
"466","tmdl","Lake TN","new_value",105.965763548381
"467","319","Lake TN","new_value",0.0117548298962363
"468","criteria","Lake TN","new_value",4.67279960849285
"469","tmdl","Lake TN","new_value",-38.1623814466269
"470","319","Lake TN","new_value",-0.00551347368327516
"471","criteria","Lake TN","new_value",-7.55751349470107
"472","tmdl","Lake TN","new_value",-1.21435289470904
"473","319","Lake TN","new_value",0.0034738233989243
"474","criteria","Lake TN","new_value",-1.39379430221663
"475","tmdl","Lake TN","new_value",-48.0724687820617
"476","319","Lake TN","new_value",-0.00439042835035601
"477","criteria","Lake TN","new_value",6.46586499080064
"478","tmdl","Lake TN","new_value",-60.9488657005958
"479","319","Lake TN","new_value",-0.00814130149883382
"480","criteria","Lake TN","new_value",0.301773309563065
"481","tmdl","Lake TN","new_value",-4.57328617949118
"482","319","Lake TN","new_value",0.00320956873582989
"483","criteria","Lake TN","new_value",-1.55336352315361
"484","tmdl","Lake TN","new_value",-11.4631661761616
"485","319","Lake TN","new_value",-0.00148830726846352
"486","criteria","Lake TN","new_value",11.5113333467203
"487","tmdl","Lake TN","new_value",49.1995313667643
"488","319","Lake TN","new_value",0.00212900699512851
"489","criteria","Lake TN","new_value",1.20898737444948
"490","tmdl","Lake TN","new_value",-54.7059357172791
"491","319","Lake TN","new_value",-0.00539407035226855
"492","criteria","Lake TN","new_value",0.152387560503271
"493","tmdl","Lake TN","new_value",31.1761243996679
"494","319","Lake TN","new_value",-0.00370902250403806
"495","criteria","Lake TN","new_value",1.78051320613543
"496","tmdl","Lake TN","new_value",-30.3719991777157
"497","319","Lake TN","new_value",-0.00161945676973749
"498","criteria","Lake TN","new_value",0.432576342272932
"499","tmdl","Lake TN","new_value",-106.795137273262
"500","319","Lake TN","new_value",-0.00990382579515013
"501","criteria","Lake TN","new_value",0.749976520903073
"502","tmdl","Lake TN","new_value",2.56957347011322
"503","319","Lake TN","new_value",0.0181397602018799
"504","criteria","Lake TN","new_value",-8.14000886157314
"505","tmdl","Lake TN","new_value",4.55871836856211
"506","319","Lake TN","new_value",0.0033212379607723
"507","criteria","Lake TN","new_value",-1.71177569916
"508","tmdl","Lake TN","new_value",-90.5508136960998
"509","319","Lake TN","new_value",-0.000413362846352154
"510","criteria","Lake TN","new_value",-0.347522096727283
"511","tmdl","Lake TN","new_value",-181.281583271056
"512","319","Lake TN","new_value",-0.00730617276440174
"513","criteria","Lake TN","new_value",16.3902386597741
"514","tmdl","Lake TN","new_value",67.0347412893884
"515","319","Lake TN","new_value",-0.0020453922175629
"516","criteria","Lake TN","new_value",0.0601282801402503
"517","tmdl","Lake TN","new_value",-92.2510817222858
"518","319","Lake TN","new_value",0.00739993857024991
"519","criteria","Lake TN","new_value",3.23286758676893
"520","tmdl","Lake TN","new_value",54.2110263876111
"521","319","Lake TN","new_value",0.0133456069512827
"522","criteria","Lake TN","new_value",4.61819728885893
"523","tmdl","Lake TN","new_value",85.439870311209
"524","319","Lake TN","new_value",0.000782645395081241
"525","criteria","Lake TN","new_value",-6.40299517612084
"526","tmdl","Lake TN","new_value",16.3813896299971
"527","319","Lake TN","new_value",-0.000152793638549226
"528","criteria","Lake TN","new_value",-5.8048448165582
"529","tmdl","Lake TN","new_value",-68.8211470727861
"530","319","Lake TN","new_value",0.00110900533097477
"531","criteria","Lake TN","new_value",-0.055369321103688
"532","tmdl","Lake TN","new_value",-14.4652940709072
"533","319","Lake TN","new_value",0.00202742222814967
"534","criteria","Lake TN","new_value",4.4599540124743
"535","tmdl","Lake TN","new_value",-21.7585605045483
"536","319","Lake TN","new_value",-0.00725230116759433
"537","criteria","Lake TN","new_value",14.8193564933658
"538","tmdl","Lake TN","new_value",21.8249922127495
"539","319","Lake TN","new_value",-0.00174111234546005
"540","criteria","Lake TN","new_value",2.52696982845642
"541","tmdl","Lake TN","new_value",148.089711927699
"542","319","Lake TN","new_value",0.00431373202037386
"543","criteria","Lake TN","new_value",-9.61512489679808
"544","tmdl","Lake TN","new_value",4.01014374344235
