"state","site","date","nh4","nh4.flag","no3","no3.flag","tp","tp.flag","tn","tn.flag","site.type","order","weight","lat","lon","nh4_bdl_flag","no3_bdl_flag","tn_bdl_flag","tp_bdl_flag"
"RI","NRS18_RI_10017",2018-07-26,43,"",811.6,"",119.385,"",1281,"","PROB",1,28.45607518,41.63146727,-71.44787904,FALSE,FALSE,FALSE,FALSE
"OR","NRS18_OR_10007",2018-07-26,4,"",3.4,"",9.715,"",45,"","PROB",1,1659.076015,44.85145806,-118.142916,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_11725",2018-07-25,43,"",1130.4,"",136.963,"",1544,"","PROB",6,68.52126026,38.7353559,-108.1669674,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10033",2018-07-26,24,"",500.5,"",48.275,"",958,"","PROB",4,619.9448468,40.96283495,-89.28942601,FALSE,FALSE,FALSE,FALSE
"OH","NRS18_OH_10037",2018-07-26,12,"",1202.7,"",127.5,"",1688,"","PROB",7,163.2309533,40.26612187,-81.87411506,FALSE,FALSE,FALSE,FALSE
"PA","NRS18_PA_10002",2018-07-24,27,"",418.7,"",147.409,"",730,"","PROB",5,66.31784172,41.41991585,-78.7477514,FALSE,FALSE,FALSE,FALSE
"PA","NRS18_PA_10016",2018-07-25,30,"",143,"",15.564,"",368,"","PROB",6,244.8086502,40.76001178,-79.54688849,FALSE,FALSE,FALSE,FALSE
"TX","NRS18_TX_10039",2018-07-26,7,"",254.2,"",5.499,"",356,"","PROB",5,114.5240282,29.46213695,-100.0014734,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10192",2018-07-27,9,"",251.8,"",12.238,"",305,"","PROB",2,827.2081576,35.62483536,-93.72112066,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10015",2018-07-27,79,"",374.3,"",255.833,"",795,"","PROB",1,1121.724342,39.94937048,-90.56089308,FALSE,FALSE,FALSE,FALSE
"MI","NRS18_MI_10022",2018-07-27,43,"",788.8,"",43.559,"",1443,"","PROB",5,76.05099715,42.96817223,-84.05173434,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10021",2018-07-27,76,"",2433.8,"",808.6,"",2919,"","PROB",5,50.50943932,38.69619533,-104.7115425,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10033",2018-07-26,17,"",4.2,"",16.998,"",206,"","PROB",3,132.346578,39.56463747,-104.2890967,FALSE,FALSE,FALSE,FALSE
"RI","NRS18_RI_10192",2018-07-27,389,"",108,"",64.814,"",730,"","PROB",2,28.45607518,41.73250387,-71.4937123,FALSE,FALSE,FALSE,FALSE
"GA","NRS18_GA_10022",2018-07-25,23,"",57.4,"",23.144,"",253,"","PROB",2,1865.67091,33.58986194,-82.21196701,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10070",2018-07-27,13,"",2369.4,"",4351.7,"HH",3913,"HH","PROB",5,50.50943932,38.35013331,-104.6111431,FALSE,FALSE,FALSE,FALSE
"SC","NRS18_SC_10020",2018-07-29,10,"",464,"",81.511,"",638,"","PROB",6,64.09076598,34.3114328,-82.78739283,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10034",2018-07-29,17,"",15.4,"",20.031,"",244,"","PROB",4,660.7796955,36.10229524,-91.61969827,FALSE,FALSE,FALSE,FALSE
